date,country,newcases
2021-06-19,armenia,81
2021-06-20,armenia,60
2021-06-21,armenia,26
2021-06-22,armenia,77
2021-06-23,armenia,100
2021-06-24,armenia,103
2021-06-25,armenia,102
2021-06-26,armenia,93
2021-06-27,armenia,69
2021-06-28,armenia,54
2021-06-29,armenia,116
2021-06-30,armenia,128
2021-07-01,armenia,126
2021-07-02,armenia,118
2021-07-03,armenia,125
2021-07-04,armenia,89
2021-07-05,armenia,53
2021-07-06,armenia,55
2021-07-07,armenia,140
2021-07-08,armenia,186
2021-07-09,armenia,148
2021-07-10,armenia,150
2021-07-11,armenia,103
2021-07-12,armenia,71
2021-07-13,armenia,138
2021-07-14,armenia,159
2021-07-15,armenia,193
2021-07-16,armenia,162
2021-07-17,armenia,187
2021-07-18,armenia,132
2021-07-19,armenia,92
2021-07-20,armenia,194
2021-07-21,armenia,220
2021-07-22,armenia,225
2021-07-23,armenia,221
2021-07-24,armenia,250
2021-07-25,armenia,166
2021-07-26,armenia,112
2021-07-27,armenia,180
2021-07-28,armenia,280
2021-07-29,armenia,233
2021-07-30,armenia,264
2021-07-31,armenia,243
2021-08-01,armenia,229
2021-08-02,armenia,137
2021-08-03,armenia,237
2021-08-04,armenia,280
2021-08-05,armenia,329
2021-08-06,armenia,303
2021-08-07,armenia,298
2021-08-08,armenia,234
2021-08-09,armenia,140
2021-08-10,armenia,313
2021-08-11,armenia,391
2021-05-11,austria,870
2021-05-12,austria,1194
2021-05-13,austria,933
2021-05-14,austria,887
2021-05-15,austria,644
2021-05-16,austria,673
2021-05-17,austria,476
2021-05-18,austria,582
2021-05-19,austria,899
2021-05-20,austria,562
2021-05-21,austria,677
2021-05-22,austria,583
2021-05-23,austria,504
2021-05-24,austria,360
2021-05-25,austria,398
2021-05-26,austria,445
2021-05-27,austria,585
2021-05-28,austria,541
2021-05-29,austria,498
2021-05-30,austria,379
2021-05-31,austria,229
2021-06-01,austria,337
2021-06-02,austria,400
2021-06-03,austria,282
2021-06-04,austria,333
2021-06-05,austria,271
2021-06-06,austria,362
2021-06-07,austria,279
2021-06-08,austria,243
2021-06-09,austria,366
2021-06-10,austria,283
2021-06-11,austria,216
2021-06-12,austria,200
2021-06-13,austria,233
2021-06-14,austria,112
2021-06-15,austria,117
2021-06-16,austria,153
2021-06-17,austria,179
2021-06-18,austria,128
2021-06-19,austria,136
2021-06-20,austria,131
2021-06-21,austria,94
2021-06-22,austria,58
2021-06-23,austria,117
2021-06-24,austria,77
2021-06-25,austria,94
2021-06-26,austria,176
2021-06-27,austria,69
2021-06-28,austria,63
2021-06-29,austria,29
2021-06-30,austria,59
2021-07-01,austria,62
2021-07-02,austria,95
2021-07-03,austria,93
2021-07-04,austria,75
2021-07-05,austria,80
2021-07-06,austria,84
2021-07-07,austria,107
2021-07-08,austria,120
2021-07-09,austria,163
2021-07-10,austria,162
2021-07-11,austria,159
2021-07-12,austria,192
2021-07-13,austria,218
2021-07-14,austria,332
2021-07-15,austria,306
2021-07-16,austria,341
2021-07-17,austria,411
2021-07-18,austria,323
2021-07-19,austria,263
2021-07-20,austria,316
2021-07-21,austria,431
2021-07-22,austria,452
2021-07-23,austria,392
2021-07-24,austria,349
2021-07-25,austria,332
2021-07-26,austria,312
2021-07-27,austria,367
2021-07-28,austria,552
2021-07-29,austria,503
2021-07-30,austria,514
2021-07-31,austria,538
2021-08-01,austria,452
2021-08-02,austria,364
2021-08-03,austria,390
2021-08-04,austria,592
2021-08-05,austria,505
2021-08-06,austria,563
2021-08-07,austria,607
2021-08-08,austria,553
2021-08-09,austria,450
2021-08-10,austria,601
2021-08-11,austria,902
2021-05-11,azerbaijan,514
2021-05-12,azerbaijan,558
2021-05-13,azerbaijan,509
2021-05-14,azerbaijan,326
2021-05-15,azerbaijan,377
2021-05-16,azerbaijan,472
2021-05-17,azerbaijan,426
2021-05-18,azerbaijan,432
2021-05-19,azerbaijan,339
2021-05-20,azerbaijan,437
2021-05-21,azerbaijan,406
2021-05-22,azerbaijan,352
2021-05-23,azerbaijan,219
2021-05-24,azerbaijan,156
2021-05-25,azerbaijan,284
2021-05-26,azerbaijan,203
2021-05-27,azerbaijan,220
2021-05-28,azerbaijan,242
2021-05-29,azerbaijan,164
2021-05-30,azerbaijan,141
2021-05-31,azerbaijan,92
2021-06-01,azerbaijan,176
2021-06-02,azerbaijan,156
2021-06-03,azerbaijan,128
2021-06-04,azerbaijan,123
